objectId,rightAscension,declination,magnitudeU,magnitudeG,magnitudeR,magnitudeI,magnitudeZ,runId,rerunId,camCol,fieldId,specObjId,objectClass,redshift,plate,mjd,fiberId
1237678858481435392,22.8985794176069,11.3952717139152,23.43694,23.94206,22.3667,20.84963,19.80723,7773,301,2,460,12462648058239539200,GALAXY,0.6947352,11069,58456,225
1237670961088364800,39.3762984479521,28.4844134675843,23.98995,20.44917,18.82873,17.65249,16.97716,5934,301,4,125,3555715406419304448,STAR,0.0001052108,3158,54794,449
1237670961093541888,46.520752953462,38.8580456103129,17.39571,16.29567,15.84518,15.66947,15.59114,5934,301,4,204,2748469075360376832,STAR,-0.0003760717,2441,54065,536
1237663789024018944,110.601197995373,42.1703895369456,22.93981,21.06483,19.13903,18.49951,18.06041,4264,301,5,36,2099888868856719360,GALAXY,0.4274402,1865,53312,311
1237663789025460992,112.493672437942,45.184876273964,23.71717,22.45223,20.54123,19.60942,19.13363,4264,301,5,58,6690258703978092544,GALAXY,0.5067068,5942,56210,587
1237667734524723456,223.213916111562,17.4071494134552,19.43351,17.39854,16.45414,15.98684,15.60938,5183,301,2,591,3126640610379851776,GALAXY,0.04450914,2777,54554,60
1237659326019600384,222.249200486294,54.3542520501006,19.81487,18.25947,17.40228,16.93699,16.58371,3225,301,4,89,1.309552753198E+18,GALAXY,0.1175697,1163,52669,477
1237654954812178688,246.557098102319,50.6457113927972,21.49803,21.05018,20.95041,20.8217,20.80743,2207,301,6,21,9072626364637796352,QSO,1.615339,8058,57196,454
1237657632186761984,138.936761647184,46.0425367689845,23.67687,22.98043,21.37759,20.23797,19.44991,2831,301,1,11,8463471352091006976,GALAXY,0.6503405,7517,56772,297
1237666300018426112,49.617982140585,-0.573243770243468,21.79555,19.74687,18.4288,17.86301,17.44264,4849,301,2,786,1762078209672767488,GALAXY,0.1812102,1565,53002,163
1237651737374818304,196.545994468803,3.17328731445239,20.38467,18.64253,17.50439,16.94958,16.55542,1458,301,5,479,590124142431332352,GALAXY,0.1802112,524,52027,555
1237668310014034944,229.002039558611,13.9632038823158,25.33654,22.24686,21.38236,20.99629,20.28357,5317,301,2,37,6176698260100765696,STAR,2.48822E-06,5486,56030,41
1237657589778875136,156.614024416196,51.0198548712062,25.95241,22.05314,20.47978,19.47291,19.01228,2821,301,2,86,7536928290050955264,GALAXY,0.4838879,6694,56386,561
1237668299283497216,198.766545028029,20.4333460792067,24.92206,21.87704,20.21208,19.36012,18.78603,5314,301,6,142,6602337628317833216,GALAXY,0.4911771,5864,56047,220
1237652944783671552,354.668034166439,15.8725908867772,24.06288,20.89224,19.50455,18.74508,18.34747,1739,301,6,268,2133669163422476288,STAR,-0.0002010664,1895,53242,323
1237663782595395840,19.6448416753272,-1.24174831851758,24.37839,20.40441,19.17855,18.70037,18.3622,4263,301,1,247,782512566826985472,GALAXY,0.2173159,695,52202,44
1237663782598738432,27.3287196071963,-1.18670895527249,22.56591,19.86765,18.10194,17.36788,16.93629,4263,301,1,298,787016991088076800,GALAXY,0.4256877,699,52202,47
1237662963856245760,356.72244788653,41.935631439173,19.79538,17.57982,16.50276,16.04405,15.76145,4072,301,4,79,2121206748642568192,STAR,-0.000101942,1884,53228,41
1237662963857293312,357.641355039816,39.7608458278308,21.07886,19.87906,19.32446,19.05148,18.84265,4072,301,4,95,2120211416462944256,STAR,-0.000289121,1883,53271,516
1237661951347393024,229.442880495609,10.1385359230225,22.62126,21.80522,21.65891,21.57609,21.30372,3836,301,6,532,6180146602772289536,QSO,2.465779,5489,55990,298
1237661971727515904,196.787606244183,7.41748390303496,22.65507,20.03571,18.35598,17.74779,17.36884,3841,301,4,212,2019874129167017984,GALAXY,0.3546591,1794,54504,35
1237680275263456000,9.03332264975955,26.3529701196568,27.69898,22.98675,21.32057,20.19427,19.4877,8103,301,1,150,8624637776305084416,GALAXY,0.7199418,7660,57357,889
1237661361834033408,199.579855567426,46.5913723791941,21.68039,20.72946,20.1242,20.04772,19.89033,3699,301,4,88,8344045697683970048,GALAXY,0.2604876,7411,56776,5
1237661971714802176,167.426278887451,7.1817920289435,22.36207,20.85466,19.3518,18.52416,17.9908,3841,301,4,18,6038281839550158848,GALAXY,0.5447829,5363,55956,293
1237661971723780352,188.170331888871,7.52715066653888,20.40459,18.84647,17.52535,16.9935,16.64864,3841,301,4,155,1833064062670366720,GALAXY,0.2102659,1628,53474,360
1237664817676222976,181.152438890634,36.5604672123155,24.56705,23.19598,21.52843,20.53009,19.72294,4504,301,1,151,9980016756172019712,GALAXY,0.6192099,8864,57428,145
1237667783888273920,136.201146834335,16.3209348019875,23.33037,20.93965,20.18493,19.76667,19.23588,5194,301,6,155,5967418590454110208,QSO,3.049109,5300,55982,542
1237654948374512128,232.236688378208,57.5497102194818,25.62369,21.82922,20.16152,19.35882,18.91796,2206,301,2,94,7646124638817507328,GALAXY,0.4558279,6791,56429,503
1237672816510632704,344.811531141459,26.855360450233,22.1474,21.0438,20.56483,20.30026,20.08586,6366,301,4,70,8676278267706365952,STAR,-0.0007388081,7706,57575,340
1237648673995030784,243.3856545373,-0.0586181936032617,18.57137,18.60205,17.94477,17.47239,17.17794,745,301,3,565,389633689060927488,STAR,4.548636E-05,346,51693,263
